word,context,lemmas,predict_sense_id_elmo,elmo_true
кисть,"Вот один делает резкий поворот , и кончик рапиры врезается противнику в кисть .","['Вот', 'один', 'делать', 'резкий', 'поворот', ',', 'и', 'кончик', 'рапира', 'врезаться', 'противник', 'в', 'кисть', '.']",5,0
кисть,"Почувствовал , как сила перетекает в плечи , потом , секунду помедлив в локтевых суставах , стекает по предплечьям к кистям рук и наконец сосредоточивается в пальцах , слегка покалывая кожу .","['почувствовать', ',', 'как', 'сила', 'перетекать', 'в', 'плечо', ',', 'потом', ',', 'секунда', 'помедлить', 'в', 'локтевой', 'сустав', ',', 'стекать', 'по', 'предплечье', 'к', 'кисть', 'рука', 'и', 'наконец', 'сосредоточиваться', 'в', 'палец', ',', 'слегка', 'покалывать', 'кожа', '.']",5,0
кисть,"Остальные придерживались того же мнения , поэтому я всегда считал живопись просто забавой для кисти в часы досуга .","['остальной', 'придерживаться', 'тот', 'же', 'мнение', ',', 'поэтому', 'я', 'всегда', 'считать', 'живопись', 'просто', 'забава', 'для', 'кисть', 'в', 'час', 'досуг', '.']",5,1
звезда,"Выступление было мое более , чем удачное <emo> Но звезда хип-хопа заболела <emo>","['выступление', 'быть', 'мой', 'много', ',', 'чем', 'удачный', '<emo>', 'но', 'звезда', 'хип-хоп', 'заболеть', '<emo>']",8,1
звезда,"Как уже многие знают , это далеко не первый случай , когда звезды российской эстрады после развода делят своих детей .","['как', 'уже', 'многий', 'знать', ',', 'это', 'далеко', 'не', 'первый', 'случай', ',', 'когда', 'звезда', 'российский', 'эстрада', 'после', 'развод', 'делить', 'свой', 'ребёнок', '.']",8,1
звезда,"Я подумал , что исторические традиции завоевания женщины от прыгания на задних лапах вокруг ее пещеры до названия ее именем звезды на небе испортили женщину , сделали ее капризной .","['я', 'подумать', ',', 'что', 'исторический', 'традиция', 'завоевание', 'женщина', 'от', 'прыганье', 'на', 'задний', 'лапа', 'вокруг', 'её', 'пещера', 'до', 'название', 'её', 'имя', 'звезда', 'на', 'небо', 'испортить', 'женщина', ',', 'сделать', 'он', 'капризный', '.']",8,0
звезда,"Там очень насыщенная музыкальная жизнь , каждый день много концертов , звёзды к нам приезжают , не только в Питер .","['там', 'очень', 'насыщенный', 'музыкальный', 'жизнь', ',', 'каждый', 'день', 'много', 'концерт', ',', 'звезда', 'к', 'мы', 'приезжать', ',', 'не', 'только', 'в', 'Питер', '.']",8,1
звезда,Недавно вышедшая замуж молодая российская звезда успела поучаствовать в откровенной видеосъемке .,"['недавно', 'вышедший', 'замуж', 'молодой', 'российский', 'звезда', 'успеть', 'поучаствовать', 'в', 'откровенный', 'видеосъёмка', '.']",8,1
кисть,"Ствол револьвера , кисть руки , держащей оружие и сама рука должны составлять одну прямую линию .","['ствол', 'револьвер', ',', 'кисть', 'рука', ',', 'держащий', 'оружие', 'и', 'сам', 'рука', 'должный', 'составлять', 'один', 'прямой', 'линия', '.']",1,1
кисть,"Задержка соперника представляет собой препятствование его движению с помощью кистей рук , рук или корпуса .","['задержка', 'соперник', 'представлять', 'себя', 'препятствование', 'его', 'движение', 'с', 'помощь', 'кисть', 'рука', ',', 'рука', 'или', 'корпус', '.']",1,1
кисть,"Игра рукой подразумевает намеренное действие игрока , касающегося мяча кистью руки или рукой .","['игра', 'рука', 'подразумевать', 'намеренный', 'действие', 'игрок', ',', 'касающийся', 'мяч', 'кисть', 'рука', 'или', 'рука', '.']",1,1
отражать,Они не отражают действительный мир .,"['он', 'не', 'отражать', 'действительный', 'мир', '.']",3,1
отражать,Название тэга должно отражать его содержание .,"['название', 'тэг', 'должный', 'отражать', 'его', 'содержание', '.']",3,0
отражать,"И тогда рисунок будет точнее отражать реакцию человека на попытку отчуждения того , что неотъемлемо принадлежит ему .","['и', 'тогда', 'рисунок', 'быть', 'точно', 'отражать', 'реакция', 'человек', 'на', 'попытка', 'отчуждение', 'то', ',', 'что', 'неотъемлемо', 'принадлежать', 'он', '.']",3,1
отражать,"Хоть и не про всех славян , но смысл отражает .","['хоть', 'и', 'не', 'про', 'весь', 'славянин', ',', 'но', 'смысл', 'отражать', '.']",3,0
отражать,"Но наша русская матрешка наиболее точно отражает суть данной "" КОНСТРУКЦИИ . ""","['но', 'наш', 'русский', 'матрёшка', 'наиболее', 'точно', 'отражать', 'суть', 'данный', '""', 'конструкция', '.', '""']",3,0
отражать,Остальные отражали воздушную атаку — а тем_временем лучники готовились к решительным действиям .,"['остальной', 'отражать', 'воздушный', 'атака', '—', 'а', 'тем_временем', 'лучник', 'готовиться', 'к', 'решительный', 'действие', '.']",2,0
отражать,"Все сложнее стало отражать нападения врагов , принимать острую сталь на разом отяжелевший меч .","['всё', 'сложно', 'стать', 'отражать', 'нападение', 'враг', ',', 'принимать', 'острый', 'сталь', 'на', 'разом', 'отяжелевший', 'меч', '.']",2,0
отражать,Три дня маленький гарнизон отражал атаки и вынудил противника уйти .,"['три', 'день', 'маленький', 'гарнизон', 'отражать', 'атака', 'и', 'вынудить', 'противник', 'уйти', '.']",2,0
